proxy,avg_max_tie_size,avg_perm_count,avg_perm_ratio,avg_variance,n_students
acc_function,3.8181818181818183,191.9090909090909,0.004759650072150072,1.2919034090909092,44
acc_output,5.7272727272727275,6859.636363636364,0.17012987012987013,0.1768465909090909,44
acc_syntaxBL,7.090909090909091,17096.727272727272,0.42402597402597403,0.08806818181818182,44
readTime,1.1590909090909092,1.2045454545454546,2.987463924963925e-05,2623.5717329545455,44
scaleSM,3.3863636363636362,89.54545454545455,0.0022208694083694085,1.0710227272727273,44
scaleST,3.840909090909091,248.9090909090909,0.006173340548340548,0.9936079545454546,44
time_correct_function,1.3,1.3,3.224206349206349e-05,6413.94375,10
time_correct_output,1.0,1.0,2.48015873015873e-05,6292.1625,5
time_correct_syntaxBL,2.25,7.6875,0.0001906622023809524,137.234375,16
time_function,1.2272727272727273,1.2272727272727273,3.0438311688311688e-05,7972.057173295455,44
time_output,1.1590909090909092,1.2272727272727273,3.0438311688311688e-05,7057.601917613636,44
time_scaleSM,3.4318181818181817,174.5,0.0043278769841269835,41.6875,44
time_scaleST,3.5,95.68181818181819,0.002373060966810967,8.114701704545455,44
time_syntaxBL,2.2045454545454546,5.886363636363637,0.00014599116161616163,146.50319602272728,44
